name z ra dec
SN2006ob 0.0592 27.9505 0.2634
time flux flux_err zp band mag_sys
54104.062 1.377998345005317e-17 9.645793680034315e-19 -21.820878260054094 Swope_i CSP_BD17
54108.073 1.0453186429483596e-17 6.450586134146845e-19 -21.820878260054094 Swope_i CSP_BD17
54112.095 1.0746046016863626e-17 7.819004575990399e-19 -21.820878260054094 Swope_i CSP_BD17
54066.117 1.670422721735365e-17 5.230955022970294e-19 -23.117934027990714 Swope_Y CSP_VEGA
54072.104 1.427007937466475e-17 1.5640442292917744e-18 -23.117934027990714 Swope_Y CSP_VEGA
54074.132 1.7014781987695578e-17 1.6924888813857738e-18 -23.117934027990714 Swope_Y CSP_VEGA
54077.068 2.032480505711996e-17 2.2838201453556787e-18 -23.117934027990714 Swope_Y CSP_VEGA
54083.0655 2.2975757393967655e-17 1.8524437318182873e-18 -23.117934027990714 Swope_Y CSP_VEGA
54090.037 2.0710899427907665e-17 9.237042487605784e-19 -23.117934027990714 Swope_Y CSP_VEGA
54100.075 1.141895571831206e-17 5.784485787199782e-19 -23.117934027990714 Swope_Y CSP_VEGA
54066.14 8.494127110164986e-18 1.7601094746884544e-19 -23.769869182905325 Swope_J CSP_VEGA
54066.156 2.982678412659062e-18 3.536282060477911e-19 -24.80552658188723 Swope_H CSP_VEGA
