name z ra dec
SN2007bm 0.0062 171.2596 -9.7983
time flux flux_err zp band mag_sys
54259.065 1.537415059787144e-15 8.496069596185025e-18 -21.04202217275901 Swope_V CSP_VEGA
54224.163 9.556605863071016e-15 3.520783711988291e-17 -20.496240812372445 Swope_B CSP_VEGA
54227.153 9.001267640495821e-15 2.4871421624466436e-17 -20.496240812372445 Swope_B CSP_VEGA
54229.074 8.300488936574146e-15 2.2935098507901156e-17 -20.496240812372445 Swope_B CSP_VEGA
54231.155 7.262793145957187e-15 2.6757118770208555e-17 -20.496240812372445 Swope_B CSP_VEGA
54235.101 5.1464016194092385e-15 2.3700055302824258e-17 -20.496240812372445 Swope_B CSP_VEGA
54239.12 3.29233239332041e-15 1.2129400784065577e-17 -20.496240812372445 Swope_B CSP_VEGA
54241.044 2.617602369069429e-15 1.205450438881033e-17 -20.496240812372445 Swope_B CSP_VEGA
54249.046 1.204214008629325e-15 1.5527709260249124e-17 -20.496240812372445 Swope_B CSP_VEGA
54255.063 8.141485899628165e-16 7.498585626922012e-18 -20.496240812372445 Swope_B CSP_VEGA
54259.07 6.81559342137671e-16 6.2773935247881184e-18 -20.496240812372445 Swope_B CSP_VEGA
54224.168 5.646327403903162e-15 5.720505696572123e-17 -20.14458485692423 Swope_u CSP_BD17
54235.093 2.0237928500198067e-15 2.050380309015958e-17 -20.14458485692423 Swope_u CSP_BD17
54239.111 1.0928638417541936e-15 1.4091907147894295e-17 -20.14458485692423 Swope_u CSP_BD17
54241.058000000005 7.970351544681139e-16 8.116187350843658e-18 -20.14458485692423 Swope_u CSP_BD17
54249.054 3.675920051434692e-16 2.6069485637491995e-17 -20.14458485692423 Swope_u CSP_BD17
54255.069 2.2519879234498544e-16 9.333708879848851e-18 -20.14458485692423 Swope_u CSP_BD17
54259.06 2.1328782091565186e-16 9.42937645358522e-18 -20.14458485692423 Swope_u CSP_BD17
54224.181 3.5159986202715332e-15 2.266848082806962e-17 -21.820878260054094 Swope_i CSP_BD17
