ZTF18aaiykoz 0.03043089 239.497841 40.033895
filter ztfg
59026.316 17.042 0.012 
59026.335 16.951 0.009 
59027.308 17.110 0.013 
59027.308 16.971 0.010 
59027.317 17.096 0.013 
59027.335 17.016 0.010 
59028.285 17.167 0.014 
59028.286 17.010 0.011 
59028.304 17.165 0.015 
59028.305 17.030 0.011 
59029.173 17.030 0.020 
59029.192 17.209 0.019 
59029.194 17.072 0.017 
59031.262 17.188 0.013 
59031.263 17.320 0.022 
59031.273 17.211 0.016 
59031.286 17.157 0.014 
59032.266 17.276 0.021 
59032.267 17.191 0.014 
59032.275 17.165 0.014 
59032.276 17.311 0.018 
59033.269 17.405 0.018 
59033.270 17.264 0.014 
59033.273 17.306 0.014 
59033.285 17.398 0.019 
59034.264 17.530 0.022 
59034.265 17.339 0.017 
59034.274 17.375 0.019 
59034.286 17.526 0.021 
59035.244 17.551 0.024 
59035.245 17.450 0.020 
59035.254 17.662 0.035 
59035.254 17.505 0.025 
59036.308 17.712 0.029 
59036.309 17.533 0.020 
59036.314 17.711 0.027 
59036.315 17.543 0.020 
59037.290 17.805 0.025 
59037.291 17.681 0.021 
59037.294 17.787 0.024 
59037.295 17.575 0.016 
59038.301 17.825 0.025 
59038.302 17.706 0.021 
59038.315 17.866 0.027 
59038.316 17.706 0.023 
59039.289 17.843 0.021 
59039.289 17.684 0.018 
59039.301 17.736 0.021 
59039.316 17.859 0.025 
59040.309 17.698 0.019 
59040.310 17.738 0.021 
59040.314 17.761 0.022 
59040.326 17.747 0.020 
59041.172 17.744 0.024 
59041.173 17.734 0.022 
59042.255 17.737 0.019 
59042.255 17.729 0.017 
59042.274 17.829 0.023 
59042.275 17.768 0.018 
59043.172 17.740 0.025 
59043.176 17.709 0.020 
59043.297 17.675 0.017 
59043.316 17.707 0.017 
59044.267 17.708 0.020 
59044.268 17.625 0.016 
59044.274 17.738 0.018 
59044.280 17.715 0.020 
59045.172 17.638 0.021 
59045.173 17.623 0.018 
59045.295 17.654 0.019 
59045.296 17.644 0.017 
59046.296 17.556 0.017 
59046.300 17.531 0.017 
59046.321 17.690 0.022 
59046.323 17.616 0.020 
59047.172 17.623 0.018 
59047.179 17.546 0.015 
59047.197 17.593 0.013 
59047.198 17.640 0.017 
59048.301 17.497 0.014 
59048.302 17.547 0.016 
59048.315 17.560 0.015 
59048.317 17.606 0.017 
59049.249 17.590 0.016 
59049.252 17.532 0.017 
59049.265 17.506 0.014 
59049.276 17.490 0.014 
59050.318 17.588 0.019 
59050.326 17.490 0.017 
59050.341 17.562 0.017 
59050.348 17.538 0.019 
59051.266 17.506 0.015 
59051.266 17.560 0.017 
59051.275 17.573 0.018 
59051.276 17.463 0.015 
59052.209 17.547 0.017 
59052.346 17.506 0.016 
59052.348 17.488 0.018 
59053.263 17.442 0.014 
59053.264 17.461 0.017 
59053.274 17.488 0.017 
59053.275 17.461 0.015 
59054.298 17.432 0.015 
59054.306 17.453 0.017 
59054.315 17.441 0.016 
59054.322 17.567 0.021 
59055.267 17.461 0.015 
59055.267 17.508 0.016 
59055.274 17.444 0.016 
59055.274 17.453 0.013 
59056.303 17.498 0.019 
59056.305 17.588 0.020 
59056.322 17.568 0.021 
59056.329 17.529 0.027 
59057.275 17.490 0.016 
59057.285 17.483 0.018 
59057.296 17.561 0.018 
59057.298 17.473 0.015 
59059.205 17.629 0.021 
59059.206 17.537 0.019 
59059.243 17.620 0.024 
59059.244 17.603 0.022 
59060.236 17.596 0.020 
59060.237 17.613 0.020 
